the_geom,interaction,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,cartodb_id,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3,fixed_date
0101000020E6100000D044D8F0F48A2C40B1E1E995B28C3B40,60,6744345,434,LBY7627,7627,30 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,26922,Northern Africa,Libya,Wadi Ashshati,Wadi Ashshati,,Brak,27.5496,14.2714,1,Libya24,National,"On March 30, residents in Brak staged a protest demanding prisoners detained in Tripoli to be released. [size=dozens]",0,1579564001,LBY,2019-03-30
0101000020E6100000BB270F0BB596304068226C787A353F40,37,6744155,434,LBY7626,7626,30 March 2019,2019,1,Explosions/Remote violence,Grenade,Unidentified Armed Group (Libya),,3,Civilians (Libya),,7,26959,Northern Africa,Libya,Sirt,Sirt,,Sirte,31.2089,16.5887,1,Libya24,National,"On March 30, unknown gunmen detonated a grenade outside a mosque in Sirte without causing casualties, although cars parked in the area were damaged.",0,1579564000,LBY,2019-03-30
0101000020E61000005C8FC2F5285C2A400AD7A3703D724040,37,6744238,434,LBY7628,7628,30 March 2019,2019,1,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Libya),,3,Civilians (Libya),Journalists (Libya),7,26972,Northern Africa,Libya,Tripoli,Tripoli,,Tripoli,32.8925,13.18,1,Libya24,National,"On March 30, unknown gunmen abducted a journalist in Tripoli.",0,1579564001,LBY,2019-03-30
0101000020E61000000A68226C781A2540226C787AA5FC3E40,60,6756535,434,LBY7625,7625,29 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27081,Northern Africa,Libya,Nalut,Nalut,,Sciaaua,30.9869,10.5517,1,Libya EN,Other,"On March 29, residents in Shawa staged a protest demanding improved living conditions and attention to the region.[size=dozens]",0,1579801612,LBY,2019-03-29
0101000020E61000008638D6C56D3425402DB29DEFA7063F40,60,6756537,434,LBY7624,7624,29 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27083,Northern Africa,Libya,Nalut,Nalut,,Sinawin,31.026,10.6024,1,Libya EN,Other,"On March 29, residents in Sinawin staged a protest demanding improved living conditions and attention to the region.[size=dozens]",0,1579801612,LBY,2019-03-29
0101000020E6100000ECC039234ADB2C40280F0BB5A6093B40,13,6744276,434,LBY7623,7623,28 March 2019,2019,1,Strategic developments,Disrupted weapons use,Police Forces of Libya (2016-),,1,Unidentified Armed Group (Libya),,3,27163,Northern Africa,Libya,Sebha,Sebha,,Sabha,27.0377,14.4283,1,Libya24,National,"On March 28, security forces handled a mortar shell found at the Sebha University.",0,1579564001,LBY,2019-03-28
0101000020E6100000448B6CE7FB2928408104C58F31774040,60,6743837,434,LBY7620,7620,26 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27267,Northern Africa,Libya,An Nuqat al Khams,An Nuqat al Khams,,Zuwarah,32.9312,12.082,1,Libya24,National,"On March 26, residents in Zuwara staged a portest against the decision to exclude the Amazigh language from the general school system.[size=dozen]",0,1579563999,LBY,2019-03-26
0101000020E6100000E3361AC05B002340A779C7293A223E40,60,6756534,434,LBY7621,7621,26 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),,6,,,0,27310,Northern Africa,Libya,Nalut,Nalut,,Ghadamis,30.1337,9.5007,1,Libya EN,Other,"On March 26, residents in Ghadamis staged a protest during the visit of a UN delegation in order to bring attention of authorities to the region. [size=no report]",0,1579801612,LBY,2019-03-26
0101000020E6100000BB270F0BB596304068226C787A353F40,38,6740024,434,LBY7619,7619,25 March 2019,2019,1,Strategic developments,Disrupted weapons use,Military Forces of Denmark,,8,Unidentified Armed Group (Libya),,3,27366,Northern Africa,Libya,Sirt,Sirt,,Sirte,31.2089,16.5887,1,Al Wasat (Libya),National,"On March 25, a Danish EOD-team dismantled a Grad rocket and mortar shells in Sirte.",0,1579563987,LBY,2019-03-25
0101000020E61000003E7958A8358D2C40AB3E575BB16F3A40,27,6758798,434,LBY7618,7618,25 March 2019,2019,1,Violence against civilians,Attack,Islamic State (Libya),,2,Civilians (Libya),,7,27386,Northern Africa,Libya,Sebha,Sebha,,Ghadduwah,26.4363,14.2758,1,Xinhua; Libya24; Libya Observer,National-International,"On March 25, suspected Islamic State militants attacked Ghadduwah and killed one individual, wounded three, and abducted two others.",1,1579805273,LBY,2019-03-25
0101000020E6100000ECC039234ADB2C40280F0BB5A6093B40,60,6740387,434,LBY7617,7617,24 March 2019,2019,1,Protests,Peaceful protest,Protesters (Libya),Labour Group (Libya),6,,,0,27489,Northern Africa,Libya,Sebha,Sebha,,Sabha,27.0377,14.4283,1,Al Wasat (Libya),National,"On March 24, employees at the general electric company staged a protest to condemn the killing of one of their colleagues weeks earlier in an attack in Shakshuk.[size=dozen]",0,1579563988,LBY,2019-03-24
0101000020E6100000B537F8C2640A2A40832F4CA60A164040,37,6744268,434,LBY7615,7615,24 March 2019,2019,1,Violence against civilians,Attack,Unidentified Armed Group (Libya),,3,Civilians (Libya),,7,27498,Northern Africa,Libya,Al Jabal Al Gharbi,Al Jabal Al Gharbi,,Gharyan,32.1722,13.0203,1,Libya24,National,"On March 24, unknown gunmen aboard a vehicle shot dead three young men in Gharyan.",3,1579564001,LBY,2019-03-24
